parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization
r10508_k0	r10508_k0	log10	-3	5		1			0
r10508_kd	r10508_kd	log10	-3	5		1			0
r10509_k0	r10509_k0	log10	-3	5		1			0
r10509_kd	r10509_kd	log10	-3	5		1			0
r10510_k0	r10510_k0	log10	-3	5		1			0
r10511_k0	r10511_k0	log10	-3	5		1			0
r10512_k0	r10512_k0	log10	-3	5		1			0
r10513_k0	r10513_k0	log10	-3	5		1			0
r10514_k0	r10514_k0	log10	-3	5		1			0
r10515_k0	r10515_k0	log10	-3	5		1			0
r10516_k0	r10516_k0	log10	-3	5		1			0
r10517_k0	r10517_k0	log10	-3	5		1			0
r10518_k0	r10518_k0	log10	-3	5		1			0
r10519_k0	r10519_k0	log10	-3	5		1			0
r10522_k0	r10522_k0	log10	-3	5		1			0
r10523_k0	r10523_k0	log10	-3	5		1			0
r10524_k0	r10524_k0	log10	-3	5		1			0
r10525_k0	r10525_k0	log10	-3	5		1			0
r10526_k0	r10526_k0	log10	-3	5		1			0
r10527_k0	r10527_k0	log10	-3	5		1			0
r10528_k0	r10528_k0	log10	-3	5		1			0
r10529_k0	r10529_k0	log10	-3	5		1			0
r10531_kE3	r10531_kE3	log10	-3	5		1			0
r10531_kE2	r10531_kE2	log10	-3	5		1			0
r10531_kE1	r10531_kE1	log10	-3	5		1			0
r10536_k0	r10536_k0	log10	-3	5		1			0
r10537_k0	r10537_k0	log10	-3	5		1			0
r10538_k0	r10538_k0	log10	-3	5		1			0
r10539_k0	r10539_k0	log10	-3	5		1			0
r10539_kd	r10539_kd	log10	-3	5		1			0
r10540_k0	r10540_k0	log10	-3	5		1			0
r10540_kd	r10540_kd	log10	-3	5		1			0
r10541_k0	r10541_k0	log10	-3	5		1			0
r10541_kd	r10541_kd	log10	-3	5		1			0
r10542_k0	r10542_k0	log10	-3	5		1			0
r10542_kd	r10542_kd	log10	-3	5		1			0
r10543_k0	r10543_k0	log10	-3	5		1			0
r10543_kd	r10543_kd	log10	-3	5		1			0
r10544_k0	r10544_k0	log10	-3	5		1			0
r10544_kd	r10544_kd	log10	-3	5		1			0
r10545_k0	r10545_k0	log10	-3	5		1			0
r10545_kd	r10545_kd	log10	-3	5		1			0
r10546_k0	r10546_k0	log10	-3	5		1			0
r10546_kd	r10546_kd	log10	-3	5		1			0
r10547_k0	r10547_k0	log10	-3	5		1			0
r10547_kd	r10547_kd	log10	-3	5		1			0
r10548_k0	r10548_k0	log10	-3	5		1			0
r10548_kd	r10548_kd	log10	-3	5		1			0
r10549_k0	r10549_k0	log10	-3	5		1			0
r10549_kd	r10549_kd	log10	-3	5		1			0
r1055_k0	r1055_k0	log10	-3	5		1			0
r10550_k0	r10550_k0	log10	-3	5		1			0
r10551_k0	r10551_k0	log10	-3	5		1			0
r10552_k0	r10552_k0	log10	-3	5		1			0
r10553_k0	r10553_k0	log10	-3	5		1			0
r10554_k0	r10554_k0	log10	-3	5		1			0
r10555_k0	r10555_k0	log10	-3	5		1			0
r10556_k0	r10556_k0	log10	-3	5		1			0
r10557_k0	r10557_k0	log10	-3	5		1			0
r10558_k0	r10558_k0	log10	-3	5		1			0
r10559_k0	r10559_k0	log10	-3	5		1			0
r10562_k0	r10562_k0	log10	-3	5		1			0
r10563_k0	r10563_k0	log10	-3	5		1			0
r10564_k0	r10564_k0	log10	-3	5		1			0
r10565_k0	r10565_k0	log10	-3	5		1			0
r10566_k0	r10566_k0	log10	-3	5		1			0
r10567_k0	r10567_k0	log10	-3	5		1			0
r10568_k0	r10568_k0	log10	-3	5		1			0
r10569_k0	r10569_k0	log10	-3	5		1			0
r10571_kE3	r10571_kE3	log10	-3	5		1			0
r10571_kE2	r10571_kE2	log10	-3	5		1			0
r10571_kE1	r10571_kE1	log10	-3	5		1			0
r10576_k0	r10576_k0	log10	-3	5		1			0
r10577_k0	r10577_k0	log10	-3	5		1			0
r10578_k0	r10578_k0	log10	-3	5		1			0
r10579_k0	r10579_k0	log10	-3	5		1			0
r10579_kd	r10579_kd	log10	-3	5		1			0
r10580_k0	r10580_k0	log10	-3	5		1			0
r10580_kd	r10580_kd	log10	-3	5		1			0
r10581_k0	r10581_k0	log10	-3	5		1			0
r10581_kd	r10581_kd	log10	-3	5		1			0
r10582_k0	r10582_k0	log10	-3	5		1			0
r10582_kd	r10582_kd	log10	-3	5		1			0
r10583_k0	r10583_k0	log10	-3	5		1			0
r10583_kd	r10583_kd	log10	-3	5		1			0
r10584_k0	r10584_k0	log10	-3	5		1			0
r10584_kd	r10584_kd	log10	-3	5		1			0
r10585_k0	r10585_k0	log10	-3	5		1			0
r10585_kd	r10585_kd	log10	-3	5		1			0
r10586_k0	r10586_k0	log10	-3	5		1			0
r10586_kd	r10586_kd	log10	-3	5		1			0
r10587_k0	r10587_k0	log10	-3	5		1			0
r10587_kd	r10587_kd	log10	-3	5		1			0
r10588_k0	r10588_k0	log10	-3	5		1			0
r10588_kd	r10588_kd	log10	-3	5		1			0
r10589_k0	r10589_k0	log10	-3	5		1			0
r10589_kd	r10589_kd	log10	-3	5		1			0
r10590_k0	r10590_k0	log10	-3	5		1			0
r10591_k0	r10591_k0	log10	-3	5		1			0
r10592_k0	r10592_k0	log10	-3	5		1			0
r10593_k0	r10593_k0	log10	-3	5		1			0
r10594_k0	r10594_k0	log10	-3	5		1			0
r10595_k0	r10595_k0	log10	-3	5		1			0
r10596_k0	r10596_k0	log10	-3	5		1			0
r10597_k0	r10597_k0	log10	-3	5		1			0
r10598_k0	r10598_k0	log10	-3	5		1			0
r10599_k0	r10599_k0	log10	-3	5		1			0
r10602_k0	r10602_k0	log10	-3	5		1			0
r10603_k0	r10603_k0	log10	-3	5		1			0
r10604_k0	r10604_k0	log10	-3	5		1			0
r10605_k0	r10605_k0	log10	-3	5		1			0
r10606_k0	r10606_k0	log10	-3	5		1			0
r10607_k0	r10607_k0	log10	-3	5		1			0
r10608_k0	r10608_k0	log10	-3	5		1			0
r10609_k0	r10609_k0	log10	-3	5		1			0
r10611_kE3	r10611_kE3	log10	-3	5		1			0
r10611_kE2	r10611_kE2	log10	-3	5		1			0
r10611_kE1	r10611_kE1	log10	-3	5		1			0
r10623_k0	r10623_k0	log10	-3	5		1			0
r10623_kE1	r10623_kE1	log10	-3	5		1			0
r10624_k0	r10624_k0	log10	-3	5		1			0
r10624_kE1	r10624_kE1	log10	-3	5		1			0
r10625_k0	r10625_k0	log10	-3	5		1			0
r10625_kE1	r10625_kE1	log10	-3	5		1			0
r10627_k0	r10627_k0	log10	-3	5		1			0
r10627_kE1	r10627_kE1	log10	-3	5		1			0
r10628_k0	r10628_k0	log10	-3	5		1			0
r10628_kE1	r10628_kE1	log10	-3	5		1			0
r10640_kE3	r10640_kE3	log10	-3	5		1			0
r10640_kE2	r10640_kE2	log10	-3	5		1			0
r10640_kE1	r10640_kE1	log10	-3	5		1			0
r10641_kE3	r10641_kE3	log10	-3	5		1			0
r10641_kE2	r10641_kE2	log10	-3	5		1			0
r10641_kE1	r10641_kE1	log10	-3	5		1			0
r10642_kE3	r10642_kE3	log10	-3	5		1			0
r10642_kE2	r10642_kE2	log10	-3	5		1			0
r10642_kE1	r10642_kE1	log10	-3	5		1			0
r10643_kE3	r10643_kE3	log10	-3	5		1			0
r10643_kE2	r10643_kE2	log10	-3	5		1			0
r10643_kE1	r10643_kE1	log10	-3	5		1			0
r10644_kE3	r10644_kE3	log10	-3	5		1			0
r10644_kE2	r10644_kE2	log10	-3	5		1			0
r10644_kE1	r10644_kE1	log10	-3	5		1			0
r10645_kE3	r10645_kE3	log10	-3	5		1			0
r10645_kE2	r10645_kE2	log10	-3	5		1			0
r10645_kE1	r10645_kE1	log10	-3	5		1			0
r10648_k0	r10648_k0	log10	-3	5		1			0
r10649_k0	r10649_k0	log10	-3	5		1			0
r10650_k0	r10650_k0	log10	-3	5		1			0
r10651_k0	r10651_k0	log10	-3	5		1			0
r10652_k0	r10652_k0	log10	-3	5		1			0
r10653_k0	r10653_k0	log10	-3	5		1			0
r10654_k0	r10654_k0	log10	-3	5		1			0
r10655_k0	r10655_k0	log10	-3	5		1			0
r10656_k0	r10656_k0	log10	-3	5		1			0
r10657_k0	r10657_k0	log10	-3	5		1			0
r10658_k0	r10658_k0	log10	-3	5		1			0
r10659_k0	r10659_k0	log10	-3	5		1			0
r10660_k0	r10660_k0	log10	-3	5		1			0
r10662_k0	r10662_k0	log10	-3	5		1			0
r10664_k0	r10664_k0	log10	-3	5		1			0
r10665_k0	r10665_k0	log10	-3	5		1			0
r10666_k0	r10666_k0	log10	-3	5		1			0
r10667_k0	r10667_k0	log10	-3	5		1			0
r10668_k0	r10668_k0	log10	-3	5		1			0
r10669_k0	r10669_k0	log10	-3	5		1			0
r10670_k0	r10670_k0	log10	-3	5		1			0
r10671_k0	r10671_k0	log10	-3	5		1			0
r10672_k0	r10672_k0	log10	-3	5		1			0
r10973_k_GeneSpecificScaling	r10973_k_GeneSpecificScaling	log10	-3	5		1			0
r10973_k_RPKM2protein	r10973_k_RPKM2protein	log10	-3	5		1			0
r10974_k0	r10974_k0	log10	-3	5		1			0
r10975_k0	r10975_k0	log10	-3	5		1			0
r10975_kd	r10975_kd	log10	-3	5		1			0
r10976_k0	r10976_k0	log10	-3	5		1			0
r10976_kd	r10976_kd	log10	-3	5		1			0
r10977_kE1	r10977_kE1	log10	-3	5		1			0
r10977_kd	r10977_kd	log10	-3	5		1			0
r10978_k0	r10978_k0	log10	-3	5		1			0
r10979_k0	r10979_k0	log10	-3	5		1			0
r10980_k0	r10980_k0	log10	-3	5		1			0
r10982_kE1	r10982_kE1	log10	-3	5		1			0
r10982_kd	r10982_kd	log10	-3	5		1			0
r10983_kE1	r10983_kE1	log10	-3	5		1			0
r10983_kd	r10983_kd	log10	-3	5		1			0
r10984_kE1	r10984_kE1	log10	-3	5		1			0
r10984_kd	r10984_kd	log10	-3	5		1			0
r10985_k0	r10985_k0	log10	-3	5		1			0
r10985_kd	r10985_kd	log10	-3	5		1			0
r10986_k_GeneSpecificScaling	r10986_k_GeneSpecificScaling	log10	-3	5		1			0
r10986_k_RPKM2protein	r10986_k_RPKM2protein	log10	-3	5		1			0
r10987_k0	r10987_k0	log10	-3	5		1			0
r10988_k_GeneSpecificScaling	r10988_k_GeneSpecificScaling	log10	-3	5		1			0
r10988_k_RPKM2protein	r10988_k_RPKM2protein	log10	-3	5		1			0
r10989_k0	r10989_k0	log10	-3	5		1			0
r10990_k_GeneSpecificScaling	r10990_k_GeneSpecificScaling	log10	-3	5		1			0
r10990_k_RPKM2protein	r10990_k_RPKM2protein	log10	-3	5		1			0
r10991_k0	r10991_k0	log10	-3	5		1			0
r10992_k0	r10992_k0	log10	-3	5		1			0
r10992_kd	r10992_kd	log10	-3	5		1			0
r10993_k0	r10993_k0	log10	-3	5		1			0
r10993_kd	r10993_kd	log10	-3	5		1			0
r10994_kE1	r10994_kE1	log10	-3	5		1			0
r10994_kd	r10994_kd	log10	-3	5		1			0
r10995_kE1	r10995_kE1	log10	-3	5		1			0
r10995_kd	r10995_kd	log10	-3	5		1			0
r10996_kE1	r10996_kE1	log10	-3	5		1			0
r10996_kd	r10996_kd	log10	-3	5		1			0
r10997_kE1	r10997_kE1	log10	-3	5		1			0
r10997_kd	r10997_kd	log10	-3	5		1			0
r10998_k0	r10998_k0	log10	-3	5		1			0
r10999_k0	r10999_k0	log10	-3	5		1			0
r11000_k0	r11000_k0	log10	-3	5		1			0
r11002_k0	r11002_k0	log10	-3	5		1			0
r11002_kd	r11002_kd	log10	-3	5		1			0
r11003_k0	r11003_k0	log10	-3	5		1			0
r11003_kd	r11003_kd	log10	-3	5		1			0
r11004_k0	r11004_k0	log10	-3	5		1			0
r11004_kd	r11004_kd	log10	-3	5		1			0
r11005_kE1	r11005_kE1	log10	-3	5		1			0
r11005_kd	r11005_kd	log10	-3	5		1			0
r11006_kE1	r11006_kE1	log10	-3	5		1			0
r11006_kd	r11006_kd	log10	-3	5		1			0
r11007_kE1	r11007_kE1	log10	-3	5		1			0
r11007_kd	r11007_kd	log10	-3	5		1			0
r11008_kE1	r11008_kE1	log10	-3	5		1			0
r11008_kd	r11008_kd	log10	-3	5		1			0
r11009_k0	r11009_k0	log10	-3	5		1			0
r11010_k0	r11010_k0	log10	-3	5		1			0
r11011_k0	r11011_k0	log10	-3	5		1			0
r11013_k0	r11013_k0	log10	-3	5		1			0
r11013_kd	r11013_kd	log10	-3	5		1			0
r11014_k0	r11014_k0	log10	-3	5		1			0
r11014_kd	r11014_kd	log10	-3	5		1			0
r11015_k0	r11015_k0	log10	-3	5		1			0
r11015_kd	r11015_kd	log10	-3	5		1			0
r11016_kE1	r11016_kE1	log10	-3	5		1			0
r11016_kd	r11016_kd	log10	-3	5		1			0
r11017_kE1	r11017_kE1	log10	-3	5		1			0
r11017_kd	r11017_kd	log10	-3	5		1			0
r11018_kE1	r11018_kE1	log10	-3	5		1			0
r11018_kd	r11018_kd	log10	-3	5		1			0
r11019_kE1	r11019_kE1	log10	-3	5		1			0
r11019_kd	r11019_kd	log10	-3	5		1			0
r11020_k0	r11020_k0	log10	-3	5		1			0
r11021_k0	r11021_k0	log10	-3	5		1			0
r11022_k0	r11022_k0	log10	-3	5		1			0
r11024_k0	r11024_k0	log10	-3	5		1			0
r11024_kd	r11024_kd	log10	-3	5		1			0
r11072_k0	r11072_k0	log10	-3	5		1			0
r11072_kd	r11072_kd	log10	-3	5		1			0
r11073_kE1	r11073_kE1	log10	-3	5		1			0
r11075_k0	r11075_k0	log10	-3	5		1			0
r11076_k0	r11076_k0	log10	-3	5		1			0
r11076_kd	r11076_kd	log10	-3	5		1			0
r11292_k0	r11292_k0	log10	-3	5		1			0
r11293_k0	r11293_k0	log10	-3	5		1			0
r11294_k0	r11294_k0	log10	-3	5		1			0
r11295_k0	r11295_k0	log10	-3	5		1			0
r11296_k0	r11296_k0	log10	-3	5		1			0
r11297_k0	r11297_k0	log10	-3	5		1			0
r11409_k0	r11409_k0	log10	-3	5		1			0
r1254_k_GeneSpecificScaling	r1254_k_GeneSpecificScaling	log10	-3	5		1			0
r1254_k_RPKM2protein	r1254_k_RPKM2protein	log10	-3	5		1			0
r1269_k0	r1269_k0	log10	-3	5		1			0
r1275_k0	r1275_k0	log10	-3	5		1			0
r1275_kd	r1275_kd	log10	-3	5		1			0
r136_k0	r136_k0	log10	-3	5		1			0
r140_k0	r140_k0	log10	-3	5		1			0
r1523_k_GeneSpecificScaling	r1523_k_GeneSpecificScaling	log10	-3	5		1			0
r1523_k_RPKM2protein	r1523_k_RPKM2protein	log10	-3	5		1			0
r1524_k0	r1524_k0	log10	-3	5		1			0
r1525_k_GeneSpecificScaling	r1525_k_GeneSpecificScaling	log10	-3	5		1			0
r1525_k_RPKM2protein	r1525_k_RPKM2protein	log10	-3	5		1			0
r1526_k0	r1526_k0	log10	-3	5		1			0
r15281_k0	r15281_k0	log10	-3	5		1			0
r15297_k0	r15297_k0	log10	-3	5		1			0
r15297_kd	r15297_kd	log10	-3	5		1			0
r15298_k0	r15298_k0	log10	-3	5		1			0
r15298_kd	r15298_kd	log10	-3	5		1			0
r15299_k0	r15299_k0	log10	-3	5		1			0
r15299_kd	r15299_kd	log10	-3	5		1			0
r15301_kE3	r15301_kE3	log10	-3	5		1			0
r15301_kE2	r15301_kE2	log10	-3	5		1			0
r15301_kE1	r15301_kE1	log10	-3	5		1			0
r15302_k0	r15302_k0	log10	-3	5		1			0
r15303_k0	r15303_k0	log10	-3	5		1			0
r1535_k_GeneSpecificScaling	r1535_k_GeneSpecificScaling	log10	-3	5		1			0
r1535_k_RPKM2protein	r1535_k_RPKM2protein	log10	-3	5		1			0
r1536_k0	r1536_k0	log10	-3	5		1			0
r15406_k0	r15406_k0	log10	-3	5		1			0
r15407_k0	r15407_k0	log10	-3	5		1			0
r15777_k_GeneSpecificScaling	r15777_k_GeneSpecificScaling	log10	-3	5		1			0
r15777_k_RPKM2protein	r15777_k_RPKM2protein	log10	-3	5		1			0
r15778_k0	r15778_k0	log10	-3	5		1			0
r1592_k_GeneSpecificScaling	r1592_k_GeneSpecificScaling	log10	-3	5		1			0
r1592_k_RPKM2protein	r1592_k_RPKM2protein	log10	-3	5		1			0
r1593_k0	r1593_k0	log10	-3	5		1			0
r1615_k_GeneSpecificScaling	r1615_k_GeneSpecificScaling	log10	-3	5		1			0
r1615_k_RPKM2protein	r1615_k_RPKM2protein	log10	-3	5		1			0
r1616_k0	r1616_k0	log10	-3	5		1			0
r1617_k_GeneSpecificScaling	r1617_k_GeneSpecificScaling	log10	-3	5		1			0
r1617_k_RPKM2protein	r1617_k_RPKM2protein	log10	-3	5		1			0
r16176_kE1	r16176_kE1	log10	-3	5		1			0
r16178_k0	r16178_k0	log10	-3	5		1			0
r1618_k0	r1618_k0	log10	-3	5		1			0
r16181_k_GeneSpecificScaling	r16181_k_GeneSpecificScaling	log10	-3	5		1			0
r16181_k_RPKM2protein	r16181_k_RPKM2protein	log10	-3	5		1			0
r16182_k0	r16182_k0	log10	-3	5		1			0
r16182_kd	r16182_kd	log10	-3	5		1			0
r16184_k0	r16184_k0	log10	-3	5		1			0
r16185_k0	r16185_k0	log10	-3	5		1			0
r16186_kE1	r16186_kE1	log10	-3	5		1			0
r16188_k0	r16188_k0	log10	-3	5		1			0
r16189_k0	r16189_k0	log10	-3	5		1			0
r16189_kE1	r16189_kE1	log10	-3	5		1			0
r162_k0	r162_k0	log10	-3	5		1			0
r162_kd	r162_kd	log10	-3	5		1			0
r1621_k_GeneSpecificScaling	r1621_k_GeneSpecificScaling	log10	-3	5		1			0
r1621_k_RPKM2protein	r1621_k_RPKM2protein	log10	-3	5		1			0
r1622_k0	r1622_k0	log10	-3	5		1			0
r16237_k0	r16237_k0	log10	-3	5		1			0
r16237_kE1	r16237_kE1	log10	-3	5		1			0
r16259_k0	r16259_k0	log10	-3	5		1			0
