parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization
p_r_10423_kd	p_r_10423_kd	log10	-3	5	1.0	1			0
p_r_10424_k0	p_r_10424_k0	log10	-3	5	1.0	1			0
p_r_10424_kd	p_r_10424_kd	log10	-3	5	1.0	1			0
p_r_10425_k0	p_r_10425_k0	log10	-3	5	1.0	1			0
p_r_10425_kd	p_r_10425_kd	log10	-3	5	1.0	1			0
p_r_10426_k0	p_r_10426_k0	log10	-3	5	1.0	1			0
p_r_10426_kd	p_r_10426_kd	log10	-3	5	1.0	1			0
p_r_10427_k0	p_r_10427_k0	log10	-3	5	1.0	1			0
p_r_10427_kd	p_r_10427_kd	log10	-3	5	1.0	1			0
p_r_10428_k0	p_r_10428_k0	log10	-3	5	1.0	1			0
p_r_10428_kd	p_r_10428_kd	log10	-3	5	1.0	1			0
p_r_10429_k0	p_r_10429_k0	log10	-3	5	1.0	1			0
p_r_10429_kd	p_r_10429_kd	log10	-3	5	1.0	1			0
p_r_10430_k0	p_r_10430_k0	log10	-3	5	1.0	1			0
p_r_10431_k0	p_r_10431_k0	log10	-3	5	1.0	1			0
p_r_10432_k0	p_r_10432_k0	log10	-3	5	1.0	1			0
p_r_10433_k0	p_r_10433_k0	log10	-3	5	1.0	1			0
p_r_10434_k0	p_r_10434_k0	log10	-3	5	1.0	1			0
p_r_10435_k0	p_r_10435_k0	log10	-3	5	1.0	1			0
p_r_10436_k0	p_r_10436_k0	log10	-3	5	1.0	1			0
p_r_10437_k0	p_r_10437_k0	log10	-3	5	1.0	1			0
p_r_10438_k0	p_r_10438_k0	log10	-3	5	1.0	1			0
p_r_10439_k0	p_r_10439_k0	log10	-3	5	1.0	1			0
p_r_10442_k0	p_r_10442_k0	log10	-3	5	1.0	1			0
p_r_10443_k0	p_r_10443_k0	log10	-3	5	1.0	1			0
p_r_10444_k0	p_r_10444_k0	log10	-3	5	1.0	1			0
p_r_10445_k0	p_r_10445_k0	log10	-3	5	1.0	1			0
p_r_10446_k0	p_r_10446_k0	log10	-3	5	1.0	1			0
p_r_10447_k0	p_r_10447_k0	log10	-3	5	1.0	1			0
p_r_10448_k0	p_r_10448_k0	log10	-3	5	1.0	1			0
p_r_10449_k0	p_r_10449_k0	log10	-3	5	1.0	1			0
p_r_10451_kE3	p_r_10451_kE3	log10	-3	5	1.0	1			0
p_r_10451_kE2	p_r_10451_kE2	log10	-3	5	1.0	1			0
p_r_10451_kE1	p_r_10451_kE1	log10	-3	5	1.0	1			0
p_r_10456_k0	p_r_10456_k0	log10	-3	5	1.0	1			0
p_r_10457_k0	p_r_10457_k0	log10	-3	5	1.0	1			0
p_r_10458_k0	p_r_10458_k0	log10	-3	5	1.0	1			0
p_r_10459_k0	p_r_10459_k0	log10	-3	5	1.0	1			0
p_r_10459_kd	p_r_10459_kd	log10	-3	5	1.0	1			0
p_r_10460_k0	p_r_10460_k0	log10	-3	5	1.0	1			0
p_r_10460_kd	p_r_10460_kd	log10	-3	5	1.0	1			0
p_r_10461_k0	p_r_10461_k0	log10	-3	5	1.0	1			0
p_r_10461_kd	p_r_10461_kd	log10	-3	5	1.0	1			0
p_r_10462_k0	p_r_10462_k0	log10	-3	5	1.0	1			0
p_r_10462_kd	p_r_10462_kd	log10	-3	5	1.0	1			0
p_r_10463_k0	p_r_10463_k0	log10	-3	5	1.0	1			0
p_r_10463_kd	p_r_10463_kd	log10	-3	5	1.0	1			0
p_r_10464_k0	p_r_10464_k0	log10	-3	5	1.0	1			0
p_r_10464_kd	p_r_10464_kd	log10	-3	5	1.0	1			0
p_r_10465_k0	p_r_10465_k0	log10	-3	5	1.0	1			0
p_r_10465_kd	p_r_10465_kd	log10	-3	5	1.0	1			0
p_r_10466_k0	p_r_10466_k0	log10	-3	5	1.0	1			0
p_r_10466_kd	p_r_10466_kd	log10	-3	5	1.0	1			0
p_r_10467_k0	p_r_10467_k0	log10	-3	5	1.0	1			0
p_r_10467_kd	p_r_10467_kd	log10	-3	5	1.0	1			0
p_r_10468_k0	p_r_10468_k0	log10	-3	5	1.0	1			0
p_r_10468_kd	p_r_10468_kd	log10	-3	5	1.0	1			0
p_r_10469_k0	p_r_10469_k0	log10	-3	5	1.0	1			0
p_r_10469_kd	p_r_10469_kd	log10	-3	5	1.0	1			0
p_r_10470_k0	p_r_10470_k0	log10	-3	5	1.0	1			0
p_r_10471_k0	p_r_10471_k0	log10	-3	5	1.0	1			0
p_r_10472_k0	p_r_10472_k0	log10	-3	5	1.0	1			0
p_r_10473_k0	p_r_10473_k0	log10	-3	5	1.0	1			0
p_r_10474_k0	p_r_10474_k0	log10	-3	5	1.0	1			0
p_r_10475_k0	p_r_10475_k0	log10	-3	5	1.0	1			0
p_r_10476_k0	p_r_10476_k0	log10	-3	5	1.0	1			0
p_r_10477_k0	p_r_10477_k0	log10	-3	5	1.0	1			0
p_r_10478_k0	p_r_10478_k0	log10	-3	5	1.0	1			0
p_r_10479_k0	p_r_10479_k0	log10	-3	5	1.0	1			0
p_r_10482_k0	p_r_10482_k0	log10	-3	5	1.0	1			0
p_r_10483_k0	p_r_10483_k0	log10	-3	5	1.0	1			0
p_r_10484_k0	p_r_10484_k0	log10	-3	5	1.0	1			0
p_r_10485_k0	p_r_10485_k0	log10	-3	5	1.0	1			0
p_r_10486_k0	p_r_10486_k0	log10	-3	5	1.0	1			0
p_r_10487_k0	p_r_10487_k0	log10	-3	5	1.0	1			0
p_r_10488_k0	p_r_10488_k0	log10	-3	5	1.0	1			0
p_r_10489_k0	p_r_10489_k0	log10	-3	5	1.0	1			0
p_r_10491_kE3	p_r_10491_kE3	log10	-3	5	1.0	1			0
p_r_10491_kE2	p_r_10491_kE2	log10	-3	5	1.0	1			0
p_r_10491_kE1	p_r_10491_kE1	log10	-3	5	1.0	1			0
p_r_10496_k0	p_r_10496_k0	log10	-3	5	1.0	1			0
p_r_10497_k0	p_r_10497_k0	log10	-3	5	1.0	1			0
p_r_10498_k0	p_r_10498_k0	log10	-3	5	1.0	1			0
p_r_10499_k0	p_r_10499_k0	log10	-3	5	1.0	1			0
p_r_10499_kd	p_r_10499_kd	log10	-3	5	1.0	1			0
p_r_10500_k0	p_r_10500_k0	log10	-3	5	1.0	1			0
p_r_10500_kd	p_r_10500_kd	log10	-3	5	1.0	1			0
p_r_10501_k0	p_r_10501_k0	log10	-3	5	1.0	1			0
p_r_10501_kd	p_r_10501_kd	log10	-3	5	1.0	1			0
p_r_10502_k0	p_r_10502_k0	log10	-3	5	1.0	1			0
p_r_10502_kd	p_r_10502_kd	log10	-3	5	1.0	1			0
p_r_10503_k0	p_r_10503_k0	log10	-3	5	1.0	1			0
p_r_10503_kd	p_r_10503_kd	log10	-3	5	1.0	1			0
p_r_10504_k0	p_r_10504_k0	log10	-3	5	1.0	1			0
p_r_10504_kd	p_r_10504_kd	log10	-3	5	1.0	1			0
p_r_10505_k0	p_r_10505_k0	log10	-3	5	1.0	1			0
p_r_10505_kd	p_r_10505_kd	log10	-3	5	1.0	1			0
p_r_10506_k0	p_r_10506_k0	log10	-3	5	1.0	1			0
p_r_10506_kd	p_r_10506_kd	log10	-3	5	1.0	1			0
p_r_10507_k0	p_r_10507_k0	log10	-3	5	1.0	1			0
p_r_10507_kd	p_r_10507_kd	log10	-3	5	1.0	1			0
p_r_10508_k0	p_r_10508_k0	log10	-3	5	1.0	1			0
p_r_10508_kd	p_r_10508_kd	log10	-3	5	1.0	1			0
p_r_10509_k0	p_r_10509_k0	log10	-3	5	1.0	1			0
p_r_10509_kd	p_r_10509_kd	log10	-3	5	1.0	1			0
p_r_10510_k0	p_r_10510_k0	log10	-3	5	1.0	1			0
p_r_10511_k0	p_r_10511_k0	log10	-3	5	1.0	1			0
p_r_10512_k0	p_r_10512_k0	log10	-3	5	1.0	1			0
p_r_10513_k0	p_r_10513_k0	log10	-3	5	1.0	1			0
p_r_10514_k0	p_r_10514_k0	log10	-3	5	1.0	1			0
p_r_10515_k0	p_r_10515_k0	log10	-3	5	1.0	1			0
p_r_10516_k0	p_r_10516_k0	log10	-3	5	1.0	1			0
p_r_10517_k0	p_r_10517_k0	log10	-3	5	1.0	1			0
p_r_10518_k0	p_r_10518_k0	log10	-3	5	1.0	1			0
p_r_10519_k0	p_r_10519_k0	log10	-3	5	1.0	1			0
p_r_10522_k0	p_r_10522_k0	log10	-3	5	1.0	1			0
p_r_10523_k0	p_r_10523_k0	log10	-3	5	1.0	1			0
p_r_10524_k0	p_r_10524_k0	log10	-3	5	1.0	1			0
p_r_10525_k0	p_r_10525_k0	log10	-3	5	1.0	1			0
p_r_10526_k0	p_r_10526_k0	log10	-3	5	1.0	1			0
p_r_10527_k0	p_r_10527_k0	log10	-3	5	1.0	1			0
p_r_10528_k0	p_r_10528_k0	log10	-3	5	1.0	1			0
p_r_10529_k0	p_r_10529_k0	log10	-3	5	1.0	1			0
p_r_10531_kE3	p_r_10531_kE3	log10	-3	5	1.0	1			0
p_r_10531_kE2	p_r_10531_kE2	log10	-3	5	1.0	1			0
p_r_10531_kE1	p_r_10531_kE1	log10	-3	5	1.0	1			0
p_r_10536_k0	p_r_10536_k0	log10	-3	5	1.0	1			0
p_r_10537_k0	p_r_10537_k0	log10	-3	5	1.0	1			0
p_r_10538_k0	p_r_10538_k0	log10	-3	5	1.0	1			0
p_r_10539_k0	p_r_10539_k0	log10	-3	5	1.0	1			0
p_r_10539_kd	p_r_10539_kd	log10	-3	5	1.0	1			0
p_r_10540_k0	p_r_10540_k0	log10	-3	5	1.0	1			0
p_r_10540_kd	p_r_10540_kd	log10	-3	5	1.0	1			0
p_r_10541_k0	p_r_10541_k0	log10	-3	5	1.0	1			0
p_r_10541_kd	p_r_10541_kd	log10	-3	5	1.0	1			0
p_r_10542_k0	p_r_10542_k0	log10	-3	5	1.0	1			0
p_r_10542_kd	p_r_10542_kd	log10	-3	5	1.0	1			0
p_r_10543_k0	p_r_10543_k0	log10	-3	5	1.0	1			0
p_r_10543_kd	p_r_10543_kd	log10	-3	5	1.0	1			0
p_r_10544_k0	p_r_10544_k0	log10	-3	5	1.0	1			0
p_r_10544_kd	p_r_10544_kd	log10	-3	5	1.0	1			0
p_r_10545_k0	p_r_10545_k0	log10	-3	5	1.0	1			0
p_r_10545_kd	p_r_10545_kd	log10	-3	5	1.0	1			0
p_r_10546_k0	p_r_10546_k0	log10	-3	5	1.0	1			0
p_r_10546_kd	p_r_10546_kd	log10	-3	5	1.0	1			0
p_r_10547_k0	p_r_10547_k0	log10	-3	5	1.0	1			0
p_r_10547_kd	p_r_10547_kd	log10	-3	5	1.0	1			0
p_r_10548_k0	p_r_10548_k0	log10	-3	5	1.0	1			0
p_r_10548_kd	p_r_10548_kd	log10	-3	5	1.0	1			0
p_r_10549_k0	p_r_10549_k0	log10	-3	5	1.0	1			0
p_r_10549_kd	p_r_10549_kd	log10	-3	5	1.0	1			0
p_r_1055_k0	p_r_1055_k0	log10	-3	5	1.0	1			0
p_r_10550_k0	p_r_10550_k0	log10	-3	5	1.0	1			0
p_r_10551_k0	p_r_10551_k0	log10	-3	5	1.0	1			0
p_r_10552_k0	p_r_10552_k0	log10	-3	5	1.0	1			0
p_r_10553_k0	p_r_10553_k0	log10	-3	5	1.0	1			0
p_r_10554_k0	p_r_10554_k0	log10	-3	5	1.0	1			0
p_r_10555_k0	p_r_10555_k0	log10	-3	5	1.0	1			0
p_r_10556_k0	p_r_10556_k0	log10	-3	5	1.0	1			0
p_r_10557_k0	p_r_10557_k0	log10	-3	5	1.0	1			0
p_r_10558_k0	p_r_10558_k0	log10	-3	5	1.0	1			0
p_r_10559_k0	p_r_10559_k0	log10	-3	5	1.0	1			0
p_r_10562_k0	p_r_10562_k0	log10	-3	5	1.0	1			0
p_r_10563_k0	p_r_10563_k0	log10	-3	5	1.0	1			0
p_r_10564_k0	p_r_10564_k0	log10	-3	5	1.0	1			0
p_r_10565_k0	p_r_10565_k0	log10	-3	5	1.0	1			0
p_r_10566_k0	p_r_10566_k0	log10	-3	5	1.0	1			0
p_r_10567_k0	p_r_10567_k0	log10	-3	5	1.0	1			0
p_r_10568_k0	p_r_10568_k0	log10	-3	5	1.0	1			0
p_r_10569_k0	p_r_10569_k0	log10	-3	5	1.0	1			0
p_r_10571_kE3	p_r_10571_kE3	log10	-3	5	1.0	1			0
p_r_10571_kE2	p_r_10571_kE2	log10	-3	5	1.0	1			0
p_r_10571_kE1	p_r_10571_kE1	log10	-3	5	1.0	1			0
p_r_10576_k0	p_r_10576_k0	log10	-3	5	1.0	1			0
p_r_10577_k0	p_r_10577_k0	log10	-3	5	1.0	1			0
p_r_10578_k0	p_r_10578_k0	log10	-3	5	1.0	1			0
p_r_10579_k0	p_r_10579_k0	log10	-3	5	1.0	1			0
p_r_10579_kd	p_r_10579_kd	log10	-3	5	1.0	1			0
p_r_10580_k0	p_r_10580_k0	log10	-3	5	1.0	1			0
p_r_10580_kd	p_r_10580_kd	log10	-3	5	1.0	1			0
p_r_10581_k0	p_r_10581_k0	log10	-3	5	1.0	1			0
p_r_10581_kd	p_r_10581_kd	log10	-3	5	1.0	1			0
p_r_10582_k0	p_r_10582_k0	log10	-3	5	1.0	1			0
p_r_10582_kd	p_r_10582_kd	log10	-3	5	1.0	1			0
p_r_10583_k0	p_r_10583_k0	log10	-3	5	1.0	1			0
p_r_10583_kd	p_r_10583_kd	log10	-3	5	1.0	1			0
p_r_10584_k0	p_r_10584_k0	log10	-3	5	1.0	1			0
p_r_10584_kd	p_r_10584_kd	log10	-3	5	1.0	1			0
p_r_10585_k0	p_r_10585_k0	log10	-3	5	1.0	1			0
p_r_10585_kd	p_r_10585_kd	log10	-3	5	1.0	1			0
p_r_10586_k0	p_r_10586_k0	log10	-3	5	1.0	1			0
p_r_10586_kd	p_r_10586_kd	log10	-3	5	1.0	1			0
p_r_10587_k0	p_r_10587_k0	log10	-3	5	1.0	1			0
p_r_10587_kd	p_r_10587_kd	log10	-3	5	1.0	1			0
p_r_10588_k0	p_r_10588_k0	log10	-3	5	1.0	1			0
p_r_10588_kd	p_r_10588_kd	log10	-3	5	1.0	1			0
p_r_10589_k0	p_r_10589_k0	log10	-3	5	1.0	1			0
p_r_10589_kd	p_r_10589_kd	log10	-3	5	1.0	1			0
p_r_10590_k0	p_r_10590_k0	log10	-3	5	1.0	1			0
p_r_10591_k0	p_r_10591_k0	log10	-3	5	1.0	1			0
p_r_10592_k0	p_r_10592_k0	log10	-3	5	1.0	1			0
p_r_10593_k0	p_r_10593_k0	log10	-3	5	1.0	1			0
p_r_10594_k0	p_r_10594_k0	log10	-3	5	1.0	1			0
p_r_10595_k0	p_r_10595_k0	log10	-3	5	1.0	1			0
p_r_10596_k0	p_r_10596_k0	log10	-3	5	1.0	1			0
p_r_10597_k0	p_r_10597_k0	log10	-3	5	1.0	1			0
p_r_10598_k0	p_r_10598_k0	log10	-3	5	1.0	1			0
p_r_10599_k0	p_r_10599_k0	log10	-3	5	1.0	1			0
p_r_10602_k0	p_r_10602_k0	log10	-3	5	1.0	1			0
p_r_10603_k0	p_r_10603_k0	log10	-3	5	1.0	1			0
p_r_10604_k0	p_r_10604_k0	log10	-3	5	1.0	1			0
p_r_10605_k0	p_r_10605_k0	log10	-3	5	1.0	1			0
p_r_10606_k0	p_r_10606_k0	log10	-3	5	1.0	1			0
p_r_10607_k0	p_r_10607_k0	log10	-3	5	1.0	1			0
p_r_10608_k0	p_r_10608_k0	log10	-3	5	1.0	1			0
p_r_10609_k0	p_r_10609_k0	log10	-3	5	1.0	1			0
p_r_10611_kE3	p_r_10611_kE3	log10	-3	5	1.0	1			0
p_r_10611_kE2	p_r_10611_kE2	log10	-3	5	1.0	1			0
p_r_10611_kE1	p_r_10611_kE1	log10	-3	5	1.0	1			0
p_r_10623_k0	p_r_10623_k0	log10	-3	5	1.0	1			0
p_r_10623_kE1	p_r_10623_kE1	log10	-3	5	1.0	1			0
p_r_10624_k0	p_r_10624_k0	log10	-3	5	1.0	1			0
p_r_10624_kE1	p_r_10624_kE1	log10	-3	5	1.0	1			0
p_r_10625_k0	p_r_10625_k0	log10	-3	5	1.0	1			0
p_r_10625_kE1	p_r_10625_kE1	log10	-3	5	1.0	1			0
p_r_10627_k0	p_r_10627_k0	log10	-3	5	1.0	1			0
p_r_10627_kE1	p_r_10627_kE1	log10	-3	5	1.0	1			0
p_r_10628_k0	p_r_10628_k0	log10	-3	5	1.0	1			0
p_r_10628_kE1	p_r_10628_kE1	log10	-3	5	1.0	1			0
p_r_10640_kE3	p_r_10640_kE3	log10	-3	5	1.0	1			0
p_r_10640_kE2	p_r_10640_kE2	log10	-3	5	1.0	1			0
p_r_10640_kE1	p_r_10640_kE1	log10	-3	5	1.0	1			0
p_r_10641_kE3	p_r_10641_kE3	log10	-3	5	1.0	1			0
p_r_10641_kE2	p_r_10641_kE2	log10	-3	5	1.0	1			0
p_r_10641_kE1	p_r_10641_kE1	log10	-3	5	1.0	1			0
p_r_10642_kE3	p_r_10642_kE3	log10	-3	5	1.0	1			0
p_r_10642_kE2	p_r_10642_kE2	log10	-3	5	1.0	1			0
p_r_10642_kE1	p_r_10642_kE1	log10	-3	5	1.0	1			0
p_r_10643_kE3	p_r_10643_kE3	log10	-3	5	1.0	1			0
p_r_10643_kE2	p_r_10643_kE2	log10	-3	5	1.0	1			0
p_r_10643_kE1	p_r_10643_kE1	log10	-3	5	1.0	1			0
p_r_10644_kE3	p_r_10644_kE3	log10	-3	5	1.0	1			0
p_r_10644_kE2	p_r_10644_kE2	log10	-3	5	1.0	1			0
p_r_10644_kE1	p_r_10644_kE1	log10	-3	5	1.0	1			0
p_r_10645_kE3	p_r_10645_kE3	log10	-3	5	1.0	1			0
p_r_10645_kE2	p_r_10645_kE2	log10	-3	5	1.0	1			0
p_r_10645_kE1	p_r_10645_kE1	log10	-3	5	1.0	1			0
p_r_10648_k0	p_r_10648_k0	log10	-3	5	1.0	1			0
p_r_10649_k0	p_r_10649_k0	log10	-3	5	1.0	1			0
p_r_10650_k0	p_r_10650_k0	log10	-3	5	1.0	1			0
p_r_10651_k0	p_r_10651_k0	log10	-3	5	1.0	1			0
p_r_10652_k0	p_r_10652_k0	log10	-3	5	1.0	1			0
p_r_10653_k0	p_r_10653_k0	log10	-3	5	1.0	1			0
p_r_10654_k0	p_r_10654_k0	log10	-3	5	1.0	1			0
p_r_10655_k0	p_r_10655_k0	log10	-3	5	1.0	1			0
p_r_10656_k0	p_r_10656_k0	log10	-3	5	1.0	1			0
p_r_10657_k0	p_r_10657_k0	log10	-3	5	1.0	1			0
p_r_10658_k0	p_r_10658_k0	log10	-3	5	1.0	1			0
p_r_10659_k0	p_r_10659_k0	log10	-3	5	1.0	1			0
p_r_10660_k0	p_r_10660_k0	log10	-3	5	1.0	1			0
p_r_10662_k0	p_r_10662_k0	log10	-3	5	1.0	1			0
p_r_10664_k0	p_r_10664_k0	log10	-3	5	1.0	1			0
p_r_10665_k0	p_r_10665_k0	log10	-3	5	1.0	1			0
p_r_10666_k0	p_r_10666_k0	log10	-3	5	1.0	1			0
p_r_10667_k0	p_r_10667_k0	log10	-3	5	1.0	1			0
p_r_10668_k0	p_r_10668_k0	log10	-3	5	1.0	1			0
p_r_10669_k0	p_r_10669_k0	log10	-3	5	1.0	1			0
p_r_10670_k0	p_r_10670_k0	log10	-3	5	1.0	1			0
p_r_10671_k0	p_r_10671_k0	log10	-3	5	1.0	1			0
p_r_10672_k0	p_r_10672_k0	log10	-3	5	1.0	1			0
p_r_10973_k_GeneSpecificScaling	p_r_10973_k_GeneSpecificScaling	log10	-3	5	1.0	1			0
p_r_10974_k0	p_r_10974_k0	log10	-3	5	1.0	1			0
p_r_10975_k0	p_r_10975_k0	log10	-3	5	1.0	1			0
p_r_10975_kd	p_r_10975_kd	log10	-3	5	1.0	1			0
p_r_10976_k0	p_r_10976_k0	log10	-3	5	1.0	1			0
p_r_10976_kd	p_r_10976_kd	log10	-3	5	1.0	1			0
p_r_10977_kE1	p_r_10977_kE1	log10	-3	5	1.0	1			0
p_r_10977_kd	p_r_10977_kd	log10	-3	5	1.0	1			0
p_r_10978_k0	p_r_10978_k0	log10	-3	5	1.0	1			0
p_r_10979_k0	p_r_10979_k0	log10	-3	5	1.0	1			0
p_r_10980_k0	p_r_10980_k0	log10	-3	5	1.0	1			0
p_r_10982_kE1	p_r_10982_kE1	log10	-3	5	1.0	1			0
p_r_10982_kd	p_r_10982_kd	log10	-3	5	1.0	1			0
p_r_10983_kE1	p_r_10983_kE1	log10	-3	5	1.0	1			0
p_r_10983_kd	p_r_10983_kd	log10	-3	5	1.0	1			0
p_r_10984_kE1	p_r_10984_kE1	log10	-3	5	1.0	1			0
p_r_10984_kd	p_r_10984_kd	log10	-3	5	1.0	1			0
p_r_10985_k0	p_r_10985_k0	log10	-3	5	1.0	1			0
p_r_10985_kd	p_r_10985_kd	log10	-3	5	1.0	1			0
p_r_10986_k_GeneSpecificScaling	p_r_10986_k_GeneSpecificScaling	log10	-3	5	1.0	1			0
p_r_10987_k0	p_r_10987_k0	log10	-3	5	1.0	1			0
p_r_10988_k_GeneSpecificScaling	p_r_10988_k_GeneSpecificScaling	log10	-3	5	1.0	1			0
p_r_10989_k0	p_r_10989_k0	log10	-3	5	1.0	1			0
p_r_10990_k_GeneSpecificScaling	p_r_10990_k_GeneSpecificScaling	log10	-3	5	1.0	1			0
p_r_10991_k0	p_r_10991_k0	log10	-3	5	1.0	1			0
p_r_10992_k0	p_r_10992_k0	log10	-3	5	1.0	1			0
p_r_10992_kd	p_r_10992_kd	log10	-3	5	1.0	1			0
p_r_10993_k0	p_r_10993_k0	log10	-3	5	1.0	1			0
p_r_10993_kd	p_r_10993_kd	log10	-3	5	1.0	1			0
p_r_10994_kE1	p_r_10994_kE1	log10	-3	5	1.0	1			0
p_r_10994_kd	p_r_10994_kd	log10	-3	5	1.0	1			0
p_r_10995_kE1	p_r_10995_kE1	log10	-3	5	1.0	1			0
p_r_10995_kd	p_r_10995_kd	log10	-3	5	1.0	1			0
