observableId	simulationConditionId	observableParameters	time	measurement	noiseParameters	preequilibrationConditionId	observableTransformation
viability	TUMOR-C32-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	1.075	proliferation_sigma_all		
viability	TUMOR-C32-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	1.0401	proliferation_sigma_all		
viability	TUMOR-C32-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	0.75	proliferation_sigma_all		
viability	TUMOR-C32-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	0.89	proliferation_sigma_all		
viability	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	1.0172	proliferation_sigma_all		
viability	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	1.0661	proliferation_sigma_all		
viability	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	1.0379	proliferation_sigma_all		
viability	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	1.0045	proliferation_sigma_all		
viability	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	0.87	proliferation_sigma_all		
viability	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	0.37	proliferation_sigma_all		
viability	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	0.21	proliferation_sigma_all		
viability	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	0.17	proliferation_sigma_all		
viability	TUMOR-CAMA1-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-CAMA1-cellline-01-01	inf	1.0068	proliferation_sigma_all		
viability	TUMOR-CAMA1-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-CAMA1-cellline-01-01	inf	1.121	proliferation_sigma_all		
viability	TUMOR-CAMA1-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-CAMA1-cellline-01-01	inf	1.0384	proliferation_sigma_all		
viability	TUMOR-CAMA1-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-CAMA1-cellline-01-01	inf	1.105	proliferation_sigma_all		
viability	TUMOR-CAMA1-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-CAMA1-cellline-01-01	inf	1.0132	proliferation_sigma_all		
viability	TUMOR-CAMA1-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-CAMA1-cellline-01-01	inf	1.0573	proliferation_sigma_all		
viability	TUMOR-CAMA1-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-CAMA1-cellline-01-01	inf	0.9109999999999999	proliferation_sigma_all		
viability	TUMOR-CAMA1-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-CAMA1-cellline-01-01	inf	0.9329999999999999	proliferation_sigma_all		
viability	TUMOR-COLO201-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-COLO201-cellline-01-01	inf	0.92	proliferation_sigma_all		
viability	TUMOR-COLO201-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-COLO201-cellline-01-01	inf	1.0133	proliferation_sigma_all		
viability	TUMOR-COLO201-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-COLO201-cellline-01-01	inf	1.0035	proliferation_sigma_all		
viability	TUMOR-COLO201-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-COLO201-cellline-01-01	inf	1.0844	proliferation_sigma_all		
viability	TUMOR-COLO201-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-COLO201-cellline-01-01	inf	0.937	proliferation_sigma_all		
viability	TUMOR-COLO201-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-COLO201-cellline-01-01	inf	1.0397	proliferation_sigma_all		
viability	TUMOR-COLO201-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-COLO201-cellline-01-01	inf	0.938	proliferation_sigma_all		
viability	TUMOR-COLO201-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-COLO201-cellline-01-01	inf	0.84	proliferation_sigma_all		
viability	TUMOR-COLO679-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-COLO679-cellline-01-01	inf	1.256	proliferation_sigma_all		
viability	TUMOR-COLO679-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-COLO679-cellline-01-01	inf	0.74	proliferation_sigma_all		
viability	TUMOR-COLO679-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-COLO679-cellline-01-01	inf	1.2990000000000002	proliferation_sigma_all		
viability	TUMOR-COLO679-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-COLO679-cellline-01-01	inf	0.9470000000000001	proliferation_sigma_all		
viability	TUMOR-COLO679-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-COLO679-cellline-01-01	inf	1.2429999999999999	proliferation_sigma_all		
viability	TUMOR-COLO679-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-COLO679-cellline-01-01	inf	0.987	proliferation_sigma_all		
viability	TUMOR-COLO679-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-COLO679-cellline-01-01	inf	1.0703	proliferation_sigma_all		
viability	TUMOR-COLO679-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-COLO679-cellline-01-01	inf	0.57	proliferation_sigma_all		
viability	TUMOR-DV90-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-DV90-cellline-01-01	inf	1.44	proliferation_sigma_all		
viability	TUMOR-DV90-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-DV90-cellline-01-01	inf	1.148	proliferation_sigma_all		
viability	TUMOR-DV90-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-DV90-cellline-01-01	inf	0.9690000000000001	proliferation_sigma_all		
viability	TUMOR-DV90-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-DV90-cellline-01-01	inf	0.971	proliferation_sigma_all		
viability	TUMOR-DV90-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-DV90-cellline-01-01	inf	0.87	proliferation_sigma_all		
viability	TUMOR-DV90-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-DV90-cellline-01-01	inf	0.65	proliferation_sigma_all		
viability	TUMOR-DV90-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-DV90-cellline-01-01	inf	0.74	proliferation_sigma_all		
viability	TUMOR-DV90-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-DV90-cellline-01-01	inf	0.56	proliferation_sigma_all		
viability	TUMOR-EBC1-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-EBC1-cellline-01-01	inf	0.86	proliferation_sigma_all		
viability	TUMOR-EBC1-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-EBC1-cellline-01-01	inf	0.9440000000000001	proliferation_sigma_all		
viability	TUMOR-EBC1-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-EBC1-cellline-01-01	inf	1.0191	proliferation_sigma_all		
viability	TUMOR-EBC1-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-EBC1-cellline-01-01	inf	1.0465	proliferation_sigma_all		
viability	TUMOR-EBC1-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-EBC1-cellline-01-01	inf	0.941	proliferation_sigma_all		
viability	TUMOR-EBC1-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-EBC1-cellline-01-01	inf	0.9670000000000001	proliferation_sigma_all		
viability	TUMOR-EBC1-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-EBC1-cellline-01-01	inf	0.82	proliferation_sigma_all		
viability	TUMOR-EBC1-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-EBC1-cellline-01-01	inf	0.8	proliferation_sigma_all		
viability	TUMOR-EFM19-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-EFM19-cellline-01-01	inf	1.075	proliferation_sigma_all		
viability	TUMOR-EFM19-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-EFM19-cellline-01-01	inf	0.925	proliferation_sigma_all		
viability	TUMOR-EFM19-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-EFM19-cellline-01-01	inf	1.0472	proliferation_sigma_all		
viability	TUMOR-EFM19-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-EFM19-cellline-01-01	inf	1.0077	proliferation_sigma_all		
viability	TUMOR-EFM19-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-EFM19-cellline-01-01	inf	0.9840000000000001	proliferation_sigma_all		
viability	TUMOR-EFM19-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-EFM19-cellline-01-01	inf	1.0234	proliferation_sigma_all		
viability	TUMOR-EFM19-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-EFM19-cellline-01-01	inf	1.102	proliferation_sigma_all		
viability	TUMOR-EFM19-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-EFM19-cellline-01-01	inf	0.85	proliferation_sigma_all		
viability	TUMOR-HCC1187-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HCC1187-cellline-01-01	inf	1.0052	proliferation_sigma_all		
viability	TUMOR-HCC1187-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HCC1187-cellline-01-01	inf	0.86	proliferation_sigma_all		
viability	TUMOR-HCC1187-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HCC1187-cellline-01-01	inf	1.0503	proliferation_sigma_all		
viability	TUMOR-HCC1187-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-HCC1187-cellline-01-01	inf	0.9933	proliferation_sigma_all		
viability	TUMOR-HCC1187-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-HCC1187-cellline-01-01	inf	0.9390000000000001	proliferation_sigma_all		
viability	TUMOR-HCC1187-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-HCC1187-cellline-01-01	inf	0.963	proliferation_sigma_all		
viability	TUMOR-HCC1187-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-HCC1187-cellline-01-01	inf	0.71	proliferation_sigma_all		
viability	TUMOR-HCC1187-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-HCC1187-cellline-01-01	inf	0.924	proliferation_sigma_all		
viability	TUMOR-HCC1395-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HCC1395-cellline-01-01	inf	1.2429999999999999	proliferation_sigma_all		
viability	TUMOR-HCC1395-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HCC1395-cellline-01-01	inf	0.943	proliferation_sigma_all		
viability	TUMOR-HCC1395-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HCC1395-cellline-01-01	inf	1.192	proliferation_sigma_all		
viability	TUMOR-HCC1395-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-HCC1395-cellline-01-01	inf	0.94	proliferation_sigma_all		
viability	TUMOR-HCC1395-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-HCC1395-cellline-01-01	inf	1.0818	proliferation_sigma_all		
viability	TUMOR-HCC1395-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-HCC1395-cellline-01-01	inf	1.0941	proliferation_sigma_all		
viability	TUMOR-HCC1395-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-HCC1395-cellline-01-01	inf	0.87	proliferation_sigma_all		
viability	TUMOR-HCC1395-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-HCC1395-cellline-01-01	inf	0.67	proliferation_sigma_all		
viability	TUMOR-HCC1569-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HCC1569-cellline-01-01	inf	1.2	proliferation_sigma_all		
viability	TUMOR-HCC1569-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HCC1569-cellline-01-01	inf	0.904	proliferation_sigma_all		
viability	TUMOR-HCC1569-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HCC1569-cellline-01-01	inf	0.89	proliferation_sigma_all		
viability	TUMOR-HCC1569-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-HCC1569-cellline-01-01	inf	0.9470000000000001	proliferation_sigma_all		
viability	TUMOR-HCC1569-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-HCC1569-cellline-01-01	inf	1.089	proliferation_sigma_all		
viability	TUMOR-HCC1569-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-HCC1569-cellline-01-01	inf	1.0494	proliferation_sigma_all		
viability	TUMOR-HCC1569-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-HCC1569-cellline-01-01	inf	1.0478	proliferation_sigma_all		
viability	TUMOR-HCC1569-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-HCC1569-cellline-01-01	inf	0.8	proliferation_sigma_all		
viability	TUMOR-HCC2935-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HCC2935-cellline-01-01	inf	1.0632	proliferation_sigma_all		
viability	TUMOR-HCC2935-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HCC2935-cellline-01-01	inf	1.0099	proliferation_sigma_all		
viability	TUMOR-HCC2935-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HCC2935-cellline-01-01	inf	1.0578	proliferation_sigma_all		
viability	TUMOR-HCC2935-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-HCC2935-cellline-01-01	inf	0.77	proliferation_sigma_all		
viability	TUMOR-HCC2935-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-HCC2935-cellline-01-01	inf	0.57	proliferation_sigma_all		
viability	TUMOR-HCC2935-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-HCC2935-cellline-01-01	inf	0.29	proliferation_sigma_all		
viability	TUMOR-HCC2935-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-HCC2935-cellline-01-01	inf	0.2	proliferation_sigma_all		
viability	TUMOR-HCC2935-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-HCC2935-cellline-01-01	inf	0.22	proliferation_sigma_all		
viability	TUMOR-HCC4006-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HCC4006-cellline-01-01	inf	1.0589	proliferation_sigma_all		
viability	TUMOR-HCC4006-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HCC4006-cellline-01-01	inf	0.937	proliferation_sigma_all		
viability	TUMOR-HCC4006-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HCC4006-cellline-01-01	inf	0.88	proliferation_sigma_all		
viability	TUMOR-HCC4006-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-HCC4006-cellline-01-01	inf	0.73	proliferation_sigma_all		
viability	TUMOR-HCC4006-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-HCC4006-cellline-01-01	inf	0.22	proliferation_sigma_all		
viability	TUMOR-HCC4006-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-HCC4006-cellline-01-01	inf	0.08	proliferation_sigma_all		
viability	TUMOR-HCC4006-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-HCC4006-cellline-01-01	inf	0.08	proliferation_sigma_all		
viability	TUMOR-HCC4006-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-HCC4006-cellline-01-01	inf	0.05	proliferation_sigma_all		
viability	TUMOR-HCC56-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HCC56-cellline-01-01	inf	1.0254	proliferation_sigma_all		
viability	TUMOR-HCC56-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HCC56-cellline-01-01	inf	1.112	proliferation_sigma_all		
viability	TUMOR-HCC56-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HCC56-cellline-01-01	inf	1.226	proliferation_sigma_all		
viability	TUMOR-HCC56-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-HCC56-cellline-01-01	inf	1.129	proliferation_sigma_all		
viability	TUMOR-HCC56-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-HCC56-cellline-01-01	inf	1.0454	proliferation_sigma_all		
viability	TUMOR-HCC56-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-HCC56-cellline-01-01	inf	0.9	proliferation_sigma_all		
viability	TUMOR-HCC56-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-HCC56-cellline-01-01	inf	0.82	proliferation_sigma_all		
viability	TUMOR-HCC56-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-HCC56-cellline-01-01	inf	0.78	proliferation_sigma_all		
viability	TUMOR-HCC78-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HCC78-cellline-01-01	inf	1.101	proliferation_sigma_all		
viability	TUMOR-HCC78-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HCC78-cellline-01-01	inf	0.9790000000000001	proliferation_sigma_all		
viability	TUMOR-HCC78-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HCC78-cellline-01-01	inf	1.0436	proliferation_sigma_all		
viability	TUMOR-HCC78-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-HCC78-cellline-01-01	inf	1.0124	proliferation_sigma_all		
viability	TUMOR-HCC78-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-HCC78-cellline-01-01	inf	1.0846	proliferation_sigma_all		
viability	TUMOR-HCC78-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-HCC78-cellline-01-01	inf	1.0518	proliferation_sigma_all		
viability	TUMOR-HCC78-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-HCC78-cellline-01-01	inf	0.983	proliferation_sigma_all		
viability	TUMOR-HCC78-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-HCC78-cellline-01-01	inf	0.9279999999999999	proliferation_sigma_all		
viability	TUMOR-HCC827-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HCC827-cellline-01-01	inf	1.0485	proliferation_sigma_all		
viability	TUMOR-HCC827-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HCC827-cellline-01-01	inf	1.0147	proliferation_sigma_all		
viability	TUMOR-HCC827-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HCC827-cellline-01-01	inf	0.67	proliferation_sigma_all		
viability	TUMOR-HCC827-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-HCC827-cellline-01-01	inf	0.28	proliferation_sigma_all		
viability	TUMOR-HCC827-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-HCC827-cellline-01-01	inf	0.17	proliferation_sigma_all		
viability	TUMOR-HCC827-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-HCC827-cellline-01-01	inf	0.2	proliferation_sigma_all		
viability	TUMOR-HCC827-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-HCC827-cellline-01-01	inf	0.14	proliferation_sigma_all		
viability	TUMOR-HCC827-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-HCC827-cellline-01-01	inf	0.1	proliferation_sigma_all		
viability	TUMOR-HMC18-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-HMC18-cellline-01-01	inf	1.0226	proliferation_sigma_all		
viability	TUMOR-HMC18-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-HMC18-cellline-01-01	inf	1.0066	proliferation_sigma_all		
viability	TUMOR-HMC18-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-HMC18-cellline-01-01	inf	0.986	proliferation_sigma_all		
